Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression pHDB3	Expression pLCV1	qValue pHDB3 vs pLCV1	Fold-change pLCV1/pHDB3
77367			77593	+	sgrS	b4577	-	25	4792	0	191.68
	77388	77519	77531	+	sgrT	b4662	Inhibitor of glucose uptake	33	7095	0	215
594818	594823	596196	596196	+	cusC	b0572	copper/silver efflux system, outer membrane component	67	1	0	0.014925373
596197	596354	596686	596701	+	cusF	b0573	periplasmic copper- and silver-binding protein	158	13	0	0.082278481
1156798	1157092	1158525	1158544	+	ptsG	b1101	fused glucose-specific PTS enzymes: IIB component/IIC component	3947	265	0	0.0671396
2039375	2039399	2040049	2040097	+	zinT	b1973	zinc and cadmium binding protein, periplasmic	89	1413	0	15.87640449
312016	312001	311738		-	ykgM	b0296	rpmE (L31) paralog	119	545	9.77E-163	4.579831933
	311738	311598	311528	-	ykgO	b4506	rpmJ (L36) paralog	60	234	2.37E-113	3.9
1940637	1940607	1939675	1939660	-	znuA	b1857	zinc transporter subunit: periplasmic-binding component of ABC superfamily	565	2146	1.10E-70	3.798230088
1939674	1939659	1938337	1938218	-	yebA	b1856	predicted peptidase	146	360	1.17E-27	2.465753425
2241005	2240989	2239832	2239832	-	yeiB	b2152	predicted inner membrane protein	47	24	3.78E-17	0.510638298
1226712	1226695	1226294	1226256	-	pliG	b1178	predicted protein	129	290	1.85E-16	2.248062016
3573073	3572901	3571798	3571596	-	asd	b3433	aspartate-semialdehyde dehydrogenase, NAD(P)-binding	697	357	2.54E-15	0.512195122
1735710	1735868	1736893	1736945	+	purR	b1658	DNA-binding transcriptional repressor, hypoxanthine-binding	658	355	2.77E-12	0.539513678
2082490	2082477	2082250	2082250	-	yeeD	b2012	conserved protein	73	42	2.97E-11	0.575342466
1899947	1900072	1901043	1901105	+	manX	b1817	fused mannose-specific PTS enzymes: IIA component/IIB component	774	467	9.89E-10	0.603359173
	1941438	1942223	1942253	+	znuB	b1859	zinc transporter subunit: membrane component of ABC superfamily	91	187	1.43E-09	2.054945055
2753615			2753977	+	ssrA	b2621	-	330238	324247	7.62E-09	0.981858538
4008216	4008223	4009023	4009056	+	yigL	b3826	predicted hydrolase	242	428	9.19E-09	1.768595041
1901907	1901910	1902770	1902802	+	manZ	b1819	mannose-specific enzyme IID component of PTS	421	300	1.37E-07	0.712589074
1940629	1940686	1941441		+	znuC	b1858	zinc transporter subunit: ATP-binding component of ABC superfamily	189	351	1.47E-07	1.857142857
2241822	2241674	2241006	2240990	-	folE	b2153	GTP cyclohydrolase I	340	182	7.25E-07	0.535294118
1808919	1808958	1810349	1810414	+	ydjN	b1729	predicted transporter	165	92	2.25E-06	0.557575758
190756			190686	-	-	predicted RNA	-	1061	823	3.24E-05	0.775683318
1480929	1480884	1480279	1480279	-	azoR	b1412	NADH-azoreductase, FMN-dependent	84	63	4.08E-05	0.75
2031508	2031508	2031143	2031104	-	yedR	b1963	inner membrane protein	327	226	6.80E-05	0.691131498
2031142	2031103	2030408	2030408	-	yedJ	b1962	predicted hydrolase, HD superfamily	132	102	7.56E-05	0.772727273
2083549	2083549	2082491	2082478	-	yeeE	b2013	inner membrane protein, UPF0394 family	47	36	9.77E-05	0.765957447
4244766	4244807	4245922	4245993	+	malK	b4035	fused maltose transport subunit, ATP-binding component of ABC superfamily/regulatory protein	415	652	1.41E-04	1.571084337
2591832	2591792	2591094	2591093	-	ypfH	b2473	predicted hydrolase	99	79	3.05E-04	0.797979798
1901044	1901106	1901906	1901909	+	manY	b1818	mannose-specific enzyme IIC component of PTS	674	465	4.20E-04	0.689910979
	593993	592551	592551	-	cusS	b0570	sensory histidine kinase in two-component regulatory system with CusR, senses copper ions	43	34	4.50E-04	0.790697674
1615052	1615052	1616242	1616242	+	ydeA	b1528	predicted arabinose transporter	59	48	4.90E-04	0.813559322
228928			229004	+	aspU	b0206	Asp tRNA	753	604	5.83E-04	0.802124834
1986009	1985983	1985897	1985797	-	azuC	b4663	expressed protein	59	40	6.76E-04	0.677966102
4245983	4245994	4247334	4247434	+	lamB	b4036	maltose outer membrane porin (maltoporin)	676	989	7.88E-04	1.463017751
4328350	4328525	4330027	4330291	+	proP	b4111	proline/glycine betaine transporter	251	194	0.001169905	0.772908367
3256118	3256032	3254701	3254701	-	yhaO	b3110	predicted transporter	91	64	0.001499415	0.703296703
3450948	3450948	3450319	3450309	-	rplC	b3320	50S ribosomal subunit protein L3	35780	34623	0.001786627	0.967663499
1168246	1168296	1168553	1168553	+	bhsA	b1112	biofilm, cell surface and signaling protein	267	224	0.002047315	0.838951311
2041581			2041492	-	serU	b1975	Ser tRNA	918	771	0.002319276	0.839869281
3839790	3839762	3838572	3838572	-	nepI	b3662	predicted transporter	63	54	0.002335608	0.857142857
2238577	2238370	2237372	2237364	-	mglB	b2150	methyl-galactoside transporter subunit	87	141	0.00247863	1.620689655
	3446781	3446590		-	rpmC	b3312	50S ribosomal subunit protein L29	26646	24626	0.002590355	0.924191248
3604474	3604474	3606672	3606758	+	zntA	b3469	zinc, cobalt and lead efflux system	57	39	0.003044252	0.684210526
1168074	1168055	1167423	1167333	-	ycfQ	b1111	predicted DNA-binding transcriptional regulator	110	93	0.003202823	0.845454545
468082	468095	469867		+	mdlA	b0448	fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components	41	35	0.003461491	0.853658537
1741434	1741481	1742854	1742854	+	mdtK	b1663	multidrug efflux system transporter	56	48	0.004261649	0.857142857
1241388	1241294	1239558	1239436	-	cvrA	b1191	predicted cation/proton antiporter	46	39	0.004723994	0.847826087
3450318	3450308	3449703		-	rplD	b3319	50S ribosomal subunit protein L4	35580	35757	0.006154423	1.004974705
3054005			3054187	+	ssrS	b2911	-	28784	26929	0.006164166	0.935554475
594684	594666	593983		-	cusR	b0571	DNA-binding response regulator in two-component regulatory system with CusS	60	47	0.006614866	0.783333333
3984455			3984626	+	glmZ	b4456	-	496	420	0.007188481	0.846774194
	3091522	3091938	3092054	+	yqgF	b2949	predicted Holliday junction resolvase	128	108	0.007465317	0.84375
2051649	2051667	2052983	2053076	+	shiA	b1981	shikimate transporter	57	50	0.010342209	0.877192982
3320670	3320527	3320195	3320181	-	secG	b3175	preprotein translocase membrane subunit	14350	13671	0.010342209	0.952682927
1057201	1057177	1056485	1056403	-	torR	b0995	DNA-binding response regulator in two-component regulatory system with TorS	98	86	0.011007006	0.87755102
3041280	3041170	3040511	3040446	-	yqfA	b2899	inner membrane protein, hemolysin III family HylIII	121	105	0.01123952	0.867768595
2997957	2997913	2997158	2997158	-	ygeR	b2865	novel lipoprotein, function unknown	96	86	0.011384773	0.895833333
3442747	3442744	3442565	3442562	-	rpmD	b3302	50S ribosomal subunit protein L30	26448	25375	0.011739992	0.959429825
3944895			3944971	+	aspT	b3760	Asp tRNA	1201	999	0.011860212	0.831806828
	2301035	2300772		-	napD	b2207	assembly protein for periplasmic nitrate reductase	56	43	0.011975408	0.767857143
	2085086	2083728	2083697	-	yeeF	b2014	predicted amino-acid transporter	3663	3544	0.012374568	0.967512968
3410625	3410643	3410822	3410890	+	yhdU	b3263	predicted membrane protein	114	144	0.013649448	1.263157895
21212	21078	20815	20627	-	rpsT	b0023	30S ribosomal subunit protein S20	17492	16581	0.013843665	0.947919049
4243251	4243098	4241554	4241540	-	malF	b4033	maltose transporter subunit	191	281	0.014231741	1.471204188
	4510437	4509481		-	fecD	b4288	KpLE2 phage-like element; iron-dicitrate transporter subunit	47	40	0.014750303	0.85106383
2493515	2493667	2494587	2494587	+	lpxP	b2378	palmitoleoyl-acyl carrier protein (ACP)-dependent acyltransferase	59	51	0.015369774	0.86440678
4424090	4424131	4424580	4424652	+	rplI	b4203	50S ribosomal subunit protein L9	10058	9384	0.015369774	0.932988666
4273154	4273064	4272783	4272783	-	yjcB	b4060	conserved protein	77	59	0.015716812	0.766233766
189848	189874	190599	190663	+	rpsB	b0169	30S ribosomal subunit protein S2	34542	33358	0.01752692	0.965722888
1906925	1906949	1907188	1907189	+	yobH	b4536	predicted protein	358	308	0.01752692	0.860335196
2820160	2820033	2817403	2817221	-	alaS	b2697	alanyl-tRNA synthetase	1914	1860	0.018044758	0.971786834
	4509480	4508713	4508611	-	fecE	b4287	KpLE2 phage-like element; iron-dicitrate transporter subunit	63	54	0.018044758	0.857142857
4241541	4241539	4240649	4240642	-	malG	b4032	maltose transporter subunit	86	127	0.018213204	1.476744186
2175248	2175226	2174372	2174344	-	gatY	b2096	D-tagatose 1,6-bisphosphate aldolase 2, catalytic subunit	703	1015	0.019294484	1.443812233
2974407			2974326	-	omrB	b4445	-	57	42	0.020454664	0.736842105
2976942	2976921	2975659	2975563	-	lysA	b2838	diaminopimelate decarboxylase, PLP-binding	236	200	0.020808086	0.847457627
	1265317	1266150		+	prmC	b1212	N5-glutamine methyltransferase, modifies release factors RF-1 and RF-2	75	67	0.020954968	0.893333333
3447922	3447905	3447204	3447192	-	rpsC	b3314	30S ribosomal subunit protein S3	35500	34555	0.020954968	0.973380282
4247335	4247577	4248497	4248497	+	malM	b4037	maltose regulon periplasmic protein	341	522	0.021104571	1.530791789
1350659	1350658	1349852	1349848	-	sapF	b1290	antimicrobial peptide transport ABC system ATP-binding protein	83	75	0.024618037	0.903614458
	2346536	2346790	2346829	+	yfaE	b2236	ferredoxin involved with ribonucleotide reductase diferric-tyrosyl radical (Y*) cofactor maintenance	328	287	0.024618037	0.875
3444174	3444162	3443629	3443629	-	rplF	b3305	50S ribosomal subunit protein L6	34477	31900	0.024618037	0.925254518
	3139308	3138814		-	hybD	b2993	maturation protease for hydrogenase 2	120	106	0.024876661	0.883333333
2802810	2802837	2804039		+	proV	b2677	glycine betaine transporter subunit	55	49	0.02569482	0.890909091
480095	479932	479558	479543	-	tomB	b0461	Hha toxicity attenuator; conjugation-related protein	1341	1043	0.02878435	0.777777778
510635	510603	508099	508099	-	copA	b0484	copper transporter	44	34	0.029147829	0.772727273
1169597	1169597	1168635	1168635	-	ycfS	b1113	L,D-transpeptidase linking Lpp to murein	49	43	0.029147829	0.87755102
1337341	1337354	1338118	1338224	+	pgpB	b1278	phosphatidylglycerophosphatase B	82	74	0.029147829	0.902439024
1903486	1903712	1904278	1904326	+	yebN	b1821	conserved inner membrane protein	110	99	0.029949592	0.9
